reagent_name,GWP_kgCO2_per_kg,source_note
Chitosan,41.8,"Table 1: Huang et al. 2025"
PDChNF,36.65,"Table 1: Huang et al. 2025"
Zirconium tetrachloride,5.0,"Table 1: Proxy based on Osterwalder et al."
2-Aminoterephthalic acid,1.98,"Table 1: Proxy based on PTA"
Formic acid (88%),2.51,"Table 1: Petrochemical route"
Ethanol,1.24,"Table 1: Fossil route"
Acetic acid,1.20,"Table 1: Nicholson et al."
Sodium hydroxide,0.83,"Table 1: Rincon et al."
Epichlorohydrin,1.17,"Table 1: Madej et al."
Sulfuric acid,0.14,"Table 1: City of Winnipeg"
Electricity (Canada),0.1197,"Table 1: Climate Transparency Report"
